[2026-04-21 01:29:21] ==================================================
[2026-04-21 01:29:21] 移动止盈v2启动
[2026-04-21 01:29:21] 参数: 激活>8.0% | 回撤>4.0% | 止损>9.0% | 间隔5秒
[2026-04-21 01:29:21] ==================================================
[2026-04-21 01:48:38] 监控中: 2个 | SCRTUSDT: ⏳-2.29% | NAORISUSDT: ⏳+0.98%
[2026-04-21 01:48:44] 监控中: 2个 | SCRTUSDT: ⏳-2.29% | NAORISUSDT: ⏳+1.03%
[2026-04-21 01:48:50] 监控中: 2个 | SCRTUSDT: ⏳-2.29% | NAORISUSDT: ⏳+1.33%
[2026-04-21 01:48:55] 监控中: 2个 | SCRTUSDT: ⏳-2.29% | NAORISUSDT: ⏳+1.33%
[2026-04-21 01:49:01] 监控中: 2个 | SCRTUSDT: ⏳-2.29% | NAORISUSDT: ⏳+1.24%
[2026-04-21 01:49:07] 监控中: 2个 | SCRTUSDT: ⏳-1.94% | NAORISUSDT: ⏳+1.24%
[2026-04-21 01:49:13] 监控中: 2个 | SCRTUSDT: ⏳-1.94% | NAORISUSDT: ⏳+1.24%
[2026-04-21 01:49:19] 监控中: 2个 | SCRTUSDT: ⏳-1.94% | NAORISUSDT: ⏳+1.24%
[2026-04-21 01:49:25] 监控中: 2个 | SCRTUSDT: ⏳-1.94% | NAORISUSDT: ⏳+1.24%
[2026-04-21 01:49:31] 监控中: 2个 | SCRTUSDT: ⏳-1.94% | NAORISUSDT: ⏳+1.24%
[2026-04-21 01:49:36] 监控中: 2个 | SCRTUSDT: ⏳-1.94% | NAORISUSDT: ⏳+1.24%
[2026-04-21 01:49:42] 监控中: 2个 | SCRTUSDT: ⏳-1.94% | NAORISUSDT: ⏳+1.24%
[2026-04-21 01:49:48] 监控中: 2个 | SCRTUSDT: ⏳-1.94% | NAORISUSDT: ⏳+1.24%
[2026-04-21 01:49:54] 监控中: 2个 | SCRTUSDT: ⏳-2.11% | NAORISUSDT: ⏳+1.24%
[2026-04-21 01:50:00] 监控中: 2个 | SCRTUSDT: ⏳-2.11% | NAORISUSDT: ⏳+1.24%
